車型,品番,品名,產品圖片,原料編號,模具廠商,生產機台,CT時間(秒),重量公差,標準重量(g),重量上限(g),重量下限(g),標準長度,長度上限,長度下限,後加工組立,組立時間,重點管制1,重點管制2,重點管制3,異常履歷寫真1,異常履歷寫真2,異常履歷寫真3,出貨容器,收容數,月需求量,成形條件表,作業標準書,檢查手順書,備註
841W,G92D1-VU010,"DUCT, HV BATTERY INTAKE",G92D1-VU010_main.jpg,FTP20DY-202B,源達,550T (501機),52,93g±6g,93,99,87,,,,無,無,五處嵌合點需用蠟筆點檢,末端缺料處,需手動定位後啟動自動壓合,,,,T62,10,4166,G92D1-VU010_qc1.pdf,G92D1-VU010_qc2.pdf,G92D1-VU010_qc3.pdf,
841W,62511-VU010,右 DECK (後右側背板),62511-vu010_main.jpg,FTP20DY-202B,源達,3200T (321機),80,2430g±50g,2430,2480,2380,,,,無,,大型件禁止表面發白、皮紋拉傷,,,,,,,7,4166,62511-VU010_qc1.pdf,62511-VU010_qc2.pdf,62511-VU010_qc3.pdf,
841W,62512-VU010,左 DECK (後左側背板),62512-vu010_main.jpg,FTP20DY-202B,源達,3200T (321機),80,2480g±50g,1780,2530,2430,,,,無,,大型件禁止表面發白、皮紋拉傷,,,,,,,7,4166,62512-VU010_qc1.pdf,62512-VU010_qc2.pdf,62512-VU010_qc3.pdf,
841W,67750-VU010,尾門飾板,67750-vu010_main.jpg,CN-BP7SYTW,博盛頓,2700T (312機),60,,,,,,,,有,,確認 4 處熔接點無脫落,,,,,,,8,4166,67750-VU010_qc1.pdf,67750-VU010_qc2.pdf,67750-VU010_qc3.pdf,
841W,67761-VU010,,67761-VU010_main.jpg,APIP5G-21BK42,博盛頓,210T(213機),45,44g±3g,44,47,41,,,,,,,,,,,,,,4166,67761-VU010_qc1.pdf,67761-VU010_qc2.pdf,67761-VU010_qc3.pdf,
841W,69321-VU010,"COVER, BACK DOOR LOCK",69321-VU010_main.jpg,CN2004A-202B,博盛頓,210T(213機),45,33g±2g,,,,,,,,,,,,,,,,,4166,69321-VU010_qc1.pdf,69321-VU010_qc2.pdf,69321-VU010_qc3.pdf,
841W,81218-X1C00,BRACKET,81218-X1C00_main.jpg,PA777B+82613,博盛頓,210T(213機),45,16g±1g,16,17,15,,,,,,,,,,,,,,4166,81218-X1C00_qc1.pdf,81218-X1C00_qc2.pdf,81218-X1C00_qc3.pdf,
841W,55303-VU010,IP下段,55303-VU010_main.jpg,APIP5G-202B,巨達,2700T (312機),,1780g±40g,1780,1820,1740,,,,無,,,,,,,,,3,4166,55303-VU010_qc1.pdf,55303-VU010_qc2.pdf,55303-VU010_qc3.pdf,
841W,55514-VU010,安全氣囊,55514-VU010_main.jpg,TT935N1J,祐振,450T (502機),,339g±3g,339,342,336,,,,無,,,,,,,,,6,4166,55514-VU010_qc1.pdf,55514-VU010_qc2.pdf,55514-VU010_qc3.pdf,
841W,62225_6-VU010,A柱下飾板右(左),62225_6-VU010_main.jpg,APIP5G-202B,和成,550T (501機),,130g±8g,130/120,138/138,122,,,,,,,,,,,,,,4166,62225_6-VU010_qc1.pdf,62225_6-VU010_qc2.pdf,62225_6-VU010_qc3.pdf,
841W,62410_20-VU010,B柱上飾板右(左),62410_20-VU010_main.jpg,APIP5G-202B,祥興,800T (102機),,283g±16g,283/283,299/299,267,,,,,,,,,,,,,,4166,62410_20-VU010_qc1.pdf,62410_20-VU010_qc2.pdf,62410_20-VU010_qc3.pdf,
841W,624511_2-VU010,天井側邊飾板右(左),624511_2-VU010_main.jpg,CN-BP1TW-202B,岡峰,550T (501機),,154g±6g,154/154,160/160,148,,,,,,,,,,,,,7,4166,624511_2-VU010_qc1.pdf,624511_2-VU010_qc2.pdf,624511_2-VU010_qc3.pdf,
841W,67917_8-VU010,,67917_8-VU010_main.jpg,FTP20DY-202B,富項,800T (102機),,655g±10g,655/655,665/655,645,,,,,,,,,,,,,,4166,67917_8-VU010_qc1.pdf,67917_8-VU010_qc2.pdf,67917_8-VU010_qc3.pdf,
841W,71139-VU010,,71139-VU010_main.jpg,FTP20DY-202B,嘉泰,600T (機),,548g±10g,548,558,538,,,,,,,,,,,,,6,4166,71139-VU010_qc1.pdf,71139-VU010_qc2.pdf,71139-VU010_qc3.pdf,
841W,71149-VU010,,71149-VU010_main.jpg,FTP20DY-202B,嘉泰,600T (機),,626g±15g,626,641,611,,,,,,,,,,,,,6,4166,71149-VU010_qc1.pdf,71149-VU010_qc2.pdf,71149-VU010_qc3.pdf,
